Event_Type,Keys_Migrated,Key_Size,Migration_Time
Handover,11,10240,82.56340026855469
Handover,11,10240,77.92162895202637
Handover,11,10240,78.51934432983398
Handover,11,10240,77.10981369018555
Handover,11,10240,87.81743049621582
Handover,11,10240,81.85482025146484
Handover,11,10240,81.97975158691406
Handover,11,10240,80.62219619750977
Handover,11,10240,81.5896987915039
Handover,11,10240,79.74100112915039
Handover,11,10240,79.18930053710938
Handover,11,10240,79.83136177062988
Handover,11,10240,83.71925354003906
Handover,11,10240,83.27317237854004
Handover,11,10240,83.93430709838867
Handover,11,10240,83.38546752929688
Handover,11,10240,81.1772346496582
Handover,11,10240,81.46476745605469
Handover,11,10240,78.15361022949219
Handover,11,10240,79.59103584289551
Handover,11,10240,84.36894416809082
Handover,11,10240,81.28237724304199
Handover,11,10240,89.02835845947266
Handover,11,10240,80.95431327819824
Handover,11,10240,84.2125415802002
Handover,11,10240,80.8565616607666
Handover,11,10240,82.00716972351074
Handover,11,10240,74.15103912353516
Handover,11,10240,78.58633995056152
Handover,11,10240,82.7019214630127
Handover,11,10240,89.36786651611328
Handover,11,10240,81.90345764160156
Handover,11,10240,78.43422889709473
Handover,11,10240,84.60116386413574
Handover,11,10240,81.47931098937988
Handover,11,10240,87.34655380249023
Handover,11,10240,78.20749282836914
Handover,11,10240,80.2607536315918
Handover,11,10240,79.47707176208496
Handover,11,10240,79.72860336303711
Handover,11,10240,82.1688175201416
Handover,11,10240,82.16214179992676
Handover,11,10240,82.17930793762207
Handover,11,10240,81.15029335021973
Handover,11,10240,81.00533485412598
Handover,11,10240,78.13644409179688
Handover,11,10240,82.90958404541016
Handover,11,10240,79.72455024719238
Handover,11,10240,86.35568618774414
Handover,11,10240,77.68797874450684
Handover,11,10240,89.0960693359375
Handover,11,10240,79.64444160461426
Handover,11,10240,83.15014839172363
Handover,11,10240,83.35471153259277
Handover,11,10240,79.6670913696289
Handover,11,10240,80.27815818786621
Handover,11,10240,79.16927337646484
Handover,11,10240,81.22062683105469
Handover,11,10240,79.27227020263672
Handover,11,10240,81.85029029846191
Handover,11,10240,81.37273788452148
Handover,11,10240,81.4821720123291
Handover,11,10240,80.04903793334961
Handover,11,10240,82.19480514526367
Handover,11,10240,80.87873458862305
Handover,11,10240,88.57965469360352
Handover,11,10240,84.06186103820801
Handover,11,10240,82.31449127197266
Handover,11,10240,81.41565322875977
Handover,11,10240,83.73117446899414
Handover,11,10240,78.71651649475098
Handover,11,10240,82.55600929260254
Handover,11,10240,80.86943626403809
Handover,11,10240,81.22420310974121
Handover,11,10240,82.6725959777832
Handover,11,10240,83.58955383300781
Handover,11,10240,81.14480972290039
Handover,11,10240,84.97738838195801
Handover,11,10240,84.00511741638184
Handover,11,10240,80.16347885131836
Handover,11,10240,85.73722839355469
Handover,11,10240,82.74126052856445
Handover,11,10240,83.42385292053223
Handover,11,10240,79.55431938171387
Handover,11,10240,84.34915542602539
Handover,11,10240,85.68620681762695
Handover,11,10240,83.24289321899414
Handover,11,10240,79.96320724487305
Handover,11,10240,83.33110809326172
Handover,11,10240,86.01093292236328
Handover,11,10240,82.4432373046875
Handover,11,10240,79.2379379272461
Handover,11,10240,81.6349983215332
Handover,11,10240,80.00922203063965
Handover,11,10240,81.98857307434082
Handover,11,10240,82.72719383239746
Handover,11,10240,83.35566520690918
Handover,11,10240,79.68664169311523
Handover,11,10240,79.35214042663574
Handover,11,10240,82.11588859558105
Handover,11,10240,80.36947250366211
